time,height,temperature,dew
19:48:56,10.170604,75.0,38.7
19:48:58,10.170604,75.2,39.1
19:49:00,10.170604,75.4,39.7
19:49:02,10.826772,75.5,40.0
19:49:04,12.139108,75.6,40.3
19:49:06,13.451444,75.2,40.0
19:49:08,15.748032,74.8,39.3
19:49:10,18.372704,74.7,38.9
19:49:12,21.32546,74.9,38.9
19:49:14,23.950132,75.2,39.1
19:49:16,26.24672,75.3,39.3
19:49:18,28.871392,75.7,39.7
19:49:20,31.496064,76.0,39.8
19:49:22,33.792652,75.7,39.2
19:49:24,36.417324,75.3,38.5
19:49:26,39.37008,75.0,37.9
19:49:28,41.666668,75.3,37.9
19:49:30,44.29134,75.6,38.1
19:49:32,46.916012,75.7,38.2
19:49:34,49.540684,75.7,38.3
19:49:36,51.837272,75.7,38.2
19:49:38,54.461944,75.7,38.1
19:49:40,57.086616,75.7,38.0
19:49:42,60.039372,75.8,38.1
19:49:44,62.33596,76.1,38.2
19:49:46,64.960632,76.1,38.4
19:49:48,66.929136,76.1,38.5
19:49:50,69.225724,76.2,38.6
19:49:52,72.17848,76.2,38.5
19:49:54,75.131236,76.1,38.2
19:49:56,77.755908,76.1,38.0
19:49:58,80.052496,76.2,38.1
19:50:00,82.349084,76.3,38.1
19:50:02,85.30184,76.1,38.0
19:50:04,87.926512,75.6,37.5
19:50:06,90.551184,75.5,37.5
19:50:08,93.50394,75.5,37.6
19:50:10,95.800528,75.3,37.4
19:50:12,98.097116,75.4,37.4
19:50:14,101.049872,75.5,37.2
19:50:16,103.674544,75.4,37.0
19:50:18,106.299216,75.4,36.9
19:50:20,108.923888,75.6,37.0
19:50:22,111.54856,75.6,36.8
19:50:24,114.173232,75.4,36.7
19:50:26,116.46982,75.3,36.5
19:50:28,119.422576,75.2,36.3
19:50:30,121.719164,75.3,36.5
19:50:32,124.343836,75.3,36.4
19:50:34,126.968508,75.4,36.4
19:50:36,129.265096,75.3,36.3
19:50:38,132.217852,75.2,36.2
19:50:40,134.51444,75.3,36.2
19:50:42,137.139112,75.2,36.2
19:50:44,139.763784,75.2,36.1
19:50:46,142.388456,75.2,36.1
19:50:48,145.341212,75.3,36.1
19:50:50,147.965884,75.2,36.1
19:50:52,150.262472,74.9,35.9
19:50:54,152.55906,74.9,35.9
19:50:56,155.183732,75.0,36.0
19:50:58,157.808404,75.0,35.9
19:51:00,160.104992,74.9,35.9
19:51:02,162.729664,74.9,35.8
19:51:04,165.354336,75.0,35.9
19:51:06,167.979008,75.0,35.9
19:51:08,170.60368,75.0,35.9
19:51:10,173.228352,75.0,35.9
19:51:12,175.853024,74.9,35.9
19:51:14,178.149612,74.8,35.7
19:51:16,180.774284,74.8,35.6
19:51:18,183.398956,74.8,35.6
19:51:20,186.023628,74.9,35.8
19:51:22,188.6483,74.8,35.7
19:51:24,191.272972,74.9,35.7
19:51:26,193.897644,74.9,35.7
19:51:28,196.522316,74.9,35.6
19:51:30,199.146988,74.9,35.7
19:51:32,201.77166,74.8,35.5
19:51:34,204.396332,74.7,35.4
19:51:36,207.021004,74.6,35.3
19:51:38,209.645676,74.2,35.1
19:51:40,212.270348,74.0,34.9
19:51:42,214.89502,73.6,34.7
19:51:44,217.191608,73.5,34.7
19:51:46,219.81628,73.5,34.7
19:51:48,222.440952,73.7,34.9
19:51:50,224.73754,73.8,35.1
19:51:52,227.362212,73.9,35.2
19:51:54,229.986884,74.0,35.3
19:51:56,232.611556,74.0,35.3
19:51:58,235.236228,74.0,35.5
19:52:00,237.8609,74.0,35.5
19:52:02,239.829404,73.7,35.2
19:52:04,242.454076,73.6,34.9
19:52:06,245.078748,73.5,34.8
19:52:08,247.375336,73.7,34.9
19:52:10,250.000008,73.7,34.8
19:52:12,253.280848,73.9,34.9
19:52:14,255.577436,73.9,34.9
19:52:16,258.202108,74.0,35.0
19:52:18,260.82678,73.2,34.3
19:52:20,263.123368,72.8,34.0
19:52:22,266.076124,72.8,34.0
19:52:24,268.700796,72.7,33.8
19:52:26,270.997384,72.6,33.7
19:52:28,273.622056,72.5,33.6
19:52:30,276.246728,72.6,33.7
19:52:32,279.199484,73.0,33.9
19:52:34,281.496072,73.2,34.1
19:52:36,284.120744,73.4,34.2
19:52:38,286.745416,73.4,34.3
19:52:40,289.370088,73.4,34.3
19:52:42,291.99476,73.4,34.3
19:52:44,294.619432,73.5,34.3
19:52:46,296.91602,73.5,34.3
19:52:48,299.540692,73.4,34.3
19:52:50,302.493448,73.3,34.2
19:52:52,305.11812,73.2,34.2
19:52:54,307.742792,73.3,34.2
19:52:56,310.03938,72.9,33.9
19:52:58,312.992136,72.8,33.8
19:53:00,315.288724,72.6,33.7
19:53:02,317.913396,72.5,33.5
19:53:04,320.538068,72.5,33.5
19:53:06,322.834656,72.5,33.5
19:53:08,325.459328,72.3,33.5
19:53:10,328.084,72.1,33.2
19:53:12,330.708672,72.0,33.1
19:53:14,333.333344,71.8,33.0
19:53:16,335.958016,71.8,33.0
19:53:18,338.582688,71.9,33.1
19:53:20,340.879276,71.9,33.1
19:53:22,343.503948,71.7,33.0
19:53:24,346.12862,71.7,33.0
19:53:26,348.425208,71.6,32.9
19:53:28,351.377964,71.5,32.9
19:53:30,354.002636,71.5,32.8
19:53:32,356.299224,71.3,32.7
19:53:34,358.923896,71.2,32.6
19:53:36,361.548568,70.9,32.4
19:53:38,363.845156,70.8,32.3
19:53:40,366.797912,70.8,32.3
19:53:42,369.422584,70.8,32.3
19:53:44,371.719172,70.6,32.3
19:53:46,374.671928,70.7,32.3
19:53:48,376.968516,70.6,32.2
19:53:50,379.593188,70.6,32.2
19:53:52,382.21786,70.7,32.3
19:53:54,384.514448,70.8,32.5
19:53:56,383.85828,70.8,32.4

# Derived Data
Lapse Rate 0-117m: 19.9c/km
