time,height,temperature,dew
23:59:24,11.811024,80.1,76.2
23:59:26,12.139108,80.2,76.2
23:59:28,14.435696,80.0,76.0
23:59:30,17.388452,79.9,75.9
23:59:32,20.013124,79.9,75.9
23:59:34,23.293964,79.8,75.8
23:59:36,26.24672,79.9,75.8
23:59:38,29.52756,79.9,75.8
23:59:40,32.152232,79.7,75.6
23:59:42,35.104988,79.7,75.6
23:59:44,38.385828,79.7,75.6
23:59:46,41.666668,79.8,75.6
23:59:48,44.619424,79.8,75.5
23:59:50,47.57218,79.8,75.5
23:59:52,50.85302,79.7,75.4
23:59:54,54.13386,79.7,75.3
23:59:56,57.086616,79.8,75.4
23:59:58,60.367456,79.8,75.4
00:00:00,63.320212,80.0,75.5
00:00:02,66.272968,80.1,75.6
00:00:04,69.553808,80.1,75.5
00:00:06,72.506564,80.1,75.6
00:00:08,75.45932,80.1,75.5
00:00:10,78.083992,80.1,75.5
00:00:12,81.364832,80.0,75.4
00:00:14,84.317588,80.1,75.5
00:00:16,87.598428,80.0,75.3
00:00:18,90.551184,80.2,75.4
00:00:20,93.50394,80.2,75.4
00:00:22,96.456696,80.2,75.4
00:00:24,99.081368,80.1,75.3
00:00:26,102.034124,80.2,75.3
00:00:28,105.314964,80.1,75.2
00:00:30,108.26772,80.1,75.2
00:00:32,111.54856,80.1,75.2
00:00:34,114.501316,80.2,75.2
00:00:36,117.454072,80.1,75.1
00:00:38,120.406828,80.2,75.1
00:00:40,123.687668,80.2,75.2
00:00:42,126.640424,80.2,75.2
00:00:44,129.59318,80.2,75.1
00:00:46,132.87402,80.2,75.1
00:00:48,136.15486,80.1,75.0
00:00:50,139.107616,80.2,75.0
00:00:52,142.060372,80.2,75.0
00:00:54,145.341212,80.2,74.9
00:00:56,148.293968,80.2,74.9
00:00:58,151.246724,80.2,74.9
00:01:00,154.527564,80.1,74.8
00:01:02,157.48032,80.1,74.8
00:01:04,160.433076,80.1,74.7
00:01:06,163.385832,80.1,74.7
00:01:08,166.338588,80.1,74.7
00:01:10,169.291344,80.0,74.6
00:01:12,172.572184,80.0,74.6
00:01:14,175.52494,80.1,74.6
00:01:16,178.80578,80.1,74.6
00:01:18,181.758536,80.0,74.5
00:01:20,184.711292,80.2,74.6
00:01:22,187.992132,80.2,74.6
00:01:24,190.944888,80.2,74.6
00:01:26,194.225728,80.4,74.7
00:01:28,197.178484,80.3,74.6
00:01:30,200.13124,80.2,74.4
00:01:32,203.083996,80.2,74.5
00:01:34,206.036752,80.2,74.5
00:01:36,209.317592,80.2,74.4
00:01:38,212.270348,80.2,74.4
00:01:40,215.223104,80.3,74.5
00:01:42,218.503944,80.3,74.4
00:01:44,221.784784,80.4,74.4
00:01:46,224.73754,80.4,74.4
00:01:48,227.690296,80.4,74.4
00:01:50,230.971136,80.4,74.4
00:01:52,233.923892,80.3,74.3
00:01:54,236.876648,80.2,74.2
00:01:56,239.829404,80.3,74.2
00:01:58,243.110244,80.3,74.2
00:02:00,245.734916,80.2,74.1
00:02:02,249.015756,80.2,74.1
00:02:04,252.296596,80.2,74.1
00:02:06,254.921268,80.2,74.0
00:02:08,258.202108,80.2,74.0
00:02:10,261.482948,80.2,74.0
00:02:12,264.763788,80.2,74.0
00:02:14,267.716544,80.1,73.9
00:02:16,270.6693,80.1,73.9
00:02:18,273.95014,80.2,73.9
00:02:20,276.902896,80.2,73.9
00:02:22,279.855652,80.2,73.9
00:02:24,282.808408,80.3,73.9
00:02:26,286.089248,80.3,73.9
00:02:28,289.042004,80.2,73.8
00:02:30,291.99476,80.2,73.8
00:02:32,294.947516,80.2,73.8
00:02:34,298.228356,80.2,73.7
00:02:36,301.509196,80.3,73.8
00:02:38,304.461952,80.2,73.7
00:02:40,307.742792,80.2,73.7
00:02:42,310.367464,80.2,73.6
00:02:44,313.32022,80.2,73.6
00:02:46,316.60106,80.2,73.6
00:02:48,319.8819,80.1,73.5
00:02:50,322.834656,80.0,73.4
00:02:52,325.787412,80.1,73.5
00:02:54,329.068252,80.0,73.4
00:02:56,332.021008,80.0,73.4
00:02:58,334.973764,80.0,73.4
00:03:00,337.92652,79.9,73.3
00:03:02,340.879276,80.0,73.4
00:03:04,344.160116,79.9,73.2
00:03:06,347.112872,79.8,73.2
00:03:08,350.393712,79.9,73.2
00:03:10,353.346468,80.0,73.3
00:03:12,356.627308,80.0,73.2
00:03:14,359.580064,80.0,73.2
00:03:16,362.53282,79.8,73.0
00:03:18,365.485576,79.9,73.1
00:03:20,368.766416,79.8,73.1
00:03:22,371.719172,79.9,73.1
00:03:24,374.671928,79.8,73.1
00:03:26,377.952768,79.8,73.0
00:03:28,380.905524,79.8,73.0
00:03:30,384.186364,79.7,72.9
00:03:32,384.186364,79.7,72.9

# Derived Data
Lapse Rate 0-117m: 1.9c/km
